"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 9.992193093535718e-01, 3.950660470061783e-02, 4.974345578325944e-04, 2.196200508935057e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.091344190112237e+03, 2.484009599441520e+01, 9.577163064657188e-01, 4.228369353428130e-02, 1.358409603776527e+02, 8.454297248472349e+02, 1.112024423619732e+03, 0.000000000000000e+00, 1.089794895136729e-02, 3.597981354411699e-05, -6.600056455498700e-06, 1.669316789720243e-04, 1.377545801371636e+04, 7.155402750025438e+00
1, 9.968784563700582e-01, 7.895152452771184e-02, 4.150709367104634e-04, 1.802416348624220e-05, 0.000000000000000e+00, 0.000000000000000e+00, 8.776550033418202e+02, 1.841890558807746e+01, 9.583828967862812e-01, 4.161710321371883e-02, 1.047994339548748e+02, 7.827072361479402e+02, 1.072403768589720e+03, 0.000000000000000e+00, 6.957068410892574e-03, 3.413384623773742e-05, -1.659605146302992e-05, 2.095494198911413e-04, 1.170913895101331e+04, 7.725614225277226e+00
2, 9.929810960135169e-01, 1.182731709213658e-01, 3.469421944065204e-04, 1.482907286409878e-05, 0.000000000000000e+00, 0.000000000000000e+00, 7.082989742940098e+02, 1.364233813558238e+01, 9.590098103257989e-01, 4.099018967420109e-02, 8.111511619384002e+01, 7.256928955335607e+02, 1.034468610142358e+03, 0.000000000000000e+00, 3.950223138284074e-03, 3.242501061664797e-05, -2.659126799037767e-05, 2.232511923691438e-04, 9.968603072629539e+03, 7.687193202872685e+00
3, 9.875333135495002e-01, 1.574101477984964e-01, 3.197197474395079e-04, 1.336920299067498e-05, 0.000000000000000e+00, 0.000000000000000e+00, 6.310162924186457e+02, 1.131341268339382e+01, 9.598629646122793e-01, 4.013703538772065e-02, 7.037147148429219e+01, 6.843489900987513e+02, 1.003373016859405e+03, 0.000000000000000e+00, 2.586262494307397e-03, 3.116316264414082e-05, -3.270315456163586e-05, 2.051675513901174e-04, 8.804709944770146e+03, 7.377709170449967e+00
4, 9.805436150436350e-01, 1.963013474155486e-01, 3.229041769027264e-04, 1.307581942972521e-05, 0.000000000000000e+00, 0.000000000000000e+00, 6.140066495613265e+02, 1.035326798371448e+01, 9.610815537458762e-01, 3.891844625412374e-02, 6.775278421468514e+01, 6.539793767048162e+02, 9.758567164652050e+02, 0.000000000000000e+00, 2.253806752220866e-03, 3.022123803761605e-05, -3.471618399927749e-05, 1.734105904383372e-04, 7.964926278889321e+03, 7.049418498895893e+00
5, 9.720229140804107e-01, 2.348860457809837e-01, 3.424303986524341e-04, 1.328471580058519e-05, 0.000000000000000e+00, 0.000000000000000e+00, 6.237799403963011e+02, 9.946749564666668e+00, 9.626534964053665e-01, 3.734650359463360e-02, 6.897323303562952e+01, 6.297761386678217e+02, 9.496878304751590e+02, 0.000000000000000e+00, 2.408748971994433e-03, 2.945998579242835e-05, -3.417949244687511e-05, 1.414441191665322e-04, 7.267016631407756e+03, 6.749588670985009e+00
6, 9.619845147229138e-01, 2.731039974685834e-01, 3.651658046024895e-04, 1.345918116043023e-05, 0.000000000000000e+00, 0.000000000000000e+00, 6.339046255163630e+02, 9.599093315487687e+00, 9.644524749646136e-01, 3.554752503538645e-02, 7.077441227478047e+01, 6.081752624557637e+02, 9.245509495493025e+02, 0.000000000000000e+00, 2.637417888490384e-03, 2.877296506679395e-05, -3.288936954050891e-05, 1.158498758357005e-04, 6.631016128443081e+03, 6.486168799776660e+00
7, 9.504440907401110e-01, 3.108955296835313e-01, 3.806167309096743e-04, 1.324099895270911e-05, 0.000000000000000e+00, 0.000000000000000e+00, 6.260945788468795e+02, 9.007832231846406e+00, 9.663812642262077e-01, 3.361873577379224e-02, 7.071571120208085e+01, 5.852587992329088e+02, 8.994495856808499e+02, 0.000000000000000e+00, 2.629965487086013e-03, 2.803814033319481e-05, -3.132489492125905e-05, 9.576387702091441e-05, 5.996412552900474e+03, 6.209584463432096e+00
8, 9.374196611341209e-01, 3.482016354343987e-01, 3.829809101082973e-04, 1.248287595388299e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.916887033749085e+02, 7.963677570676034e+00, 9.684348443679740e-01, 3.156515563202608e-02, 6.736931988778559e+01, 5.564044104265436e+02, 8.702590692788363e+02, 0.000000000000000e+00, 2.205123994702353e-03, 2.710552081670333e-05, -2.816088533041334e-05, 7.581402525792038e-05, 5.276436766628225e+03, 5.766440786883074e+00
9, 9.229315620056802e-01, 3.849640656655570e-01, 3.660511424549743e-04, 1.129501307235762e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.324473122427981e+02, 6.325492692318806e+00, 9.700672369205057e-01, 2.993276307949426e-02, 6.003969089763552e+01, 5.205008332059431e+02, 8.315359459258616e+02, 0.000000000000000e+00, 1.274590107200413e-03, 2.593322973664236e-05, -2.065686586174031e-05, 4.952377423320517e-05, 4.455452842885953e+03, 4.795566972061657e+00
10, 9.070024148017372e-01, 4.211254202061632e-01, 2.920606598165541e-04, 1.020250233363091e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.616359960181796e+02, 4.682980435330047e+00, 9.662462925979659e-01, 3.375370740203401e-02, 4.688425133908211e+01, 5.055410994621632e+02, 8.168065680190921e+02, 0.000000000000000e+00, -3.955602279213760e-04, 2.545755299948495e-05, -7.104059721291274e-06, 1.530042835921077e-05, 4.335787369882945e+03, 2.451478065845167e+00
11, 8.896570909947472e-01, 4.566292373937131e-01, 1.225385907557974e-04, 5.710133316846071e-06, 0.000000000000000e+00, 0.000000000000000e+00, 2.459418281221927e+02, 2.907779246310459e+00, 9.554761003812272e-01, 4.452389961877283e-02, 2.119209557212046e+01, 5.330086462442130e+02, 9.000698683783412e+02, 0.000000000000000e+00, -3.657310804419073e-03, 2.640548060747657e-05, 3.899611091188862e-05, -7.597666498973292e-05, 5.775877029976606e+03, 3.463903026872668e+00
12, 8.709226732488212e-01, 4.914200822322252e-01, 2.356515726090307e-05, 1.207229606263007e-06, 0.000000000000000e+00, 0.000000000000000e+00, 5.130026480003000e+01, 6.054757842513248e-01, 9.512671260651473e-01, 4.873287393485278e-02, 4.209226299343631e+00, 5.458852057010325e+02, 9.189822174608707e+02, 0.000000000000000e+00, -5.813372917054150e-03, 2.684390981861730e-05, 1.658761473138260e-04, -2.939751607027422e-04, 5.214650539075789e+03, 2.977201025765455e+00
13, 8.508284131333600e-01, 5.254436329474061e-01, 1.607133588086622e-05, 8.339582089377330e-07, 0.000000000000000e+00, 0.000000000000000e+00, 3.573505645585748e+01, 3.964324460286289e-01, 9.506688138929972e-01, 4.933118610700279e-02, 3.041438632002389e+00, 5.776643045396104e+02, 9.091905295848846e+02, 0.000000000000000e+00, -5.961629534043658e-03, 2.787289689319379e-05, 2.646994302829684e-04, -4.286164720688601e-04, 4.302671225848812e+03, 2.893657846479698e+00
